,A_UR: quality demands,A_User's programming ability,A_UR: need for model transparency,A_UR: robustness of the model,A_UR: scalability of the model,A_UR: Availability of a well documented library,A_UR: HPO or use of default values?,A_UR: Computer operating system,A_Hardware: access to parallel computing?,A_Hardware: access to high computing performance,A_Production application area,A_Number of maximum function evaluations/ trials budget,A_Running time per trial [s],A_Number of kernels used,A_Total Computing Time [s],A_Input Data,A_#Instances training dataset,A_Ratio training to test dataset,A_Feature characteristics,A_Number of features,A_Noise in dataset,A_Training Technique,A_ML task,A_Detailed ML task,D_Decision Tree,D_Random Forest,D_kNN,"D_LinReg (Ridge, Lasso, Elastic Net)",D_Logistic Regression,"D_Support Vector Machine (SVR, SVC)",D_Naive Bayes Classifier,D_XGBoost,D_Multilayer Perceptron,D_Deep NN,D_Convolutional NN,D_LSTMs,del_UR: quality demands,del_User's programming ability,del_UR: need for model transparency,del_UR: robustness of the model,del_UR: scalability of the model,del_UR: Availability of a well documented library,del_UR: HPO or use of default values?,del_UR: Computer operating system,del_Hardware: access to parallel computing?,del_Hardware: access to high computing performance,del_Production application area,del_Number of maximum function evaluations/ trials budget,del_Running time per trial [s],del_Number of kernels used,del_Total Computing Time [s],del_Input Data,del_#Instances training dataset,del_Ratio training to test dataset,del_Feature characteristics,del_Number of features,del_Noise in dataset,del_Training Technique,del_ML task,del_Detailed ML task,Antecedent_Importance
1,high,,,,,,,,,,Process Parameter Prediction,,,,,,,,,,,,,,,,,,,,,0.5000,,,,,1.111111111111111,,,,,,,,,,3.1111111111111107,,,,,,,,,,,,,,UR: quality demands_AI:_1
2,,,,,,,,,yes,,Process Parameter Prediction,,,,,,,,,,,,,,,,,,,,,1.0000,,,,,,,,,,,,,2.0,,4.0,,,,,,,,,,,,,,User's programming ability_AI:_1
3,,,,high,,,,,,,Process Parameter Prediction,,,,,,,,,,,,,,,0.3333,,,,,,0.3333,,,,,,,,2.5,,,,,,,0.5,,,,,,,,,,,,,,UR: need for model transparency_AI:_1
4,,low,,,,,,,,,Process Parameter Prediction,,,,,,,,,,,,,,,0.5000,,,,,,0.5000,,,,,,10.000000000000002,,,,,,,,,8.000000000000002,,,,,,,,,,,,,,UR: robustness of the model_AI:_1
5,,,,,,,,,,,,,,,,,>100000,,,,,,"[Binary Classification, Multiclass Classification]",,,,,,1.0000,,,,,,,,,,,,,,,,,,,,,,,,2.7999999999999994,,,,,,0.7999999999999998,,UR: scalability of the model_AI:_1
6,,,,,,,,,,,,,,,,,<100000,,,,,,"[Binary Classification, Multiclass Classification]",,,,0.5000,,,0.5000,,,,,,,,,,,,,,,,,,,,,,,2.7999999999999994,,,,,,0.7999999999999998,,UR: Availability of a well documented library_AI:_1
7,,,,,,,,,,,,,,,,,<100000,,,,,,Text,,,,,,,,1.0000,,,,,,,,,,,,,,,,,,,,,,0.6666666666666666,,,,,,2.6666666666666665,,UR: HPO or use of default values?_AI:_1
8,,,,,,,,,,,,,,,,,>100000,,,,,,Regression,,,,,1.0000,,,,,,,,,,,,,,,,,,,,,,,,,2.9999999999999996,,,,,,0.9999999999999999,,UR: Computer operating system_AI:_1
9,,,,,,,,,,,,,,,,,<100000,,,,,,Regression,,,,,0.5000,,0.5000,,,,,,,,,,,,,,,,,,,,,,,2.9999999999999996,,,,,,0.9999999999999999,,Hardware: access to parallel computing?_AI:_1
10,,,,,,,,,no,,,,,,1.0:86400,,,,,,,,Regression,,,,,1.0000,,,,,,,,,,,,,,,,,5.3998884332097035,,,,,,3.436292639315266,,,,,,,,3.1499349193723267,,Hardware: access to high computing performance_AI:_1
11,high,,,,,,,,no,,,,,,1.0:86400,,,,,,,,Regression,,,1.0000,,,,,,,,,,,2.616684547180231,,,,,,,,5.233369094360462,,,,,,3.3303257873202945,,,,,,,,3.0527986383769368,,Production application area_AI:_1
12,high,,,,,,,,yes,,,,,,>86400,,,,,,,,Regression,,,,,,,,,,1.0000,,,,1.9397779350787407,,,,,,,,2.7156891091102375,,,,,,4.526148515183729,,,,,,,,2.2630742575918643,,Number of maximum function evaluations/ trials budget_AI:_1
13,high,,,,,,,,no,yes,,,,,1.0:86400,,,,,,,,Regression,,,,,,,,,1.0000,,,,,2.696236807830227,,,,,,,,5.392473615660454,2.696236807830227,,,,,3.431574119056653,,,,,,,,3.1456096091352648,,Running time per trial [s]_AI:_1
14,,,,,,,,,no,,,,,,1.0:86400,,,,,,,,"[Binary Classification, Multiclass Classification]",,,,,,0.5000,,,,0.5000,,,,,,,,,,,,4.738523846877072,,,,,,3.0154242661945005,,,,,,,,2.369261923438536,,Number of kernels used_AI:_1
15,high,,,,,,,,yes,,,,,,>86400,,,,,,,,"[Binary Classification, Multiclass Classification]",,,,,,,,,,1.0000,,,,1.8359701840863136,,,,,,,,2.5703582577208395,,,,,,4.283930429534732,,,,,,,,1.8359701840863136,,Total Computing Time [s]_AI:_1
16,high,,,,,,,,no,,,,,,1.0:86400,,,,,,,,"[Binary Classification, Multiclass Classification]",,,1.0000,,,,,,,,,,,2.444444444444444,,,,,,,,4.888888888888888,,,,,,3.111111111111111,,,,,,,,2.444444444444444,,Input Data_AI:_1
17,,,,,yes,,,,no,,,,,,1.0:86400,,,,,,,,"[Binary Classification, Multiclass Classification]",,,,,,,,,1.0000,,,,,,,,,2.8666360455422693,,,,0.8190388701549339,,,,,,0.5212065537349581,,,,,,,,0.40951943507746696,,#Instances training dataset_AI:_1
18,,,,,,,,,,,,,,,,,,,,<100,,,"[Binary Classification, Multiclass Classification]",,,,,,,1.0000,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,2.0,,Ratio training to test dataset_AI:_1
19,high,,,,,,,,no,,,,,,1.0:86400,,,,,,,,"[Binary Classification, Multiclass Classification]",,,,,,,,,1.0000,,,,,2.444444444444444,,,,,,,,4.888888888888888,,,,,,3.111111111111111,,,,,,,,2.444444444444444,,Feature characteristics_AI:_1
20,high,,,,,,,,,,,,,,,,,,,,,,"[Binary Classification, Multiclass Classification]",Image Recognition,,,,,,,,,,,,,0.16317848796612636,,,,,,,,,,,,,,,,,,,,,,0.16317848796612636,2.2844988315257693,Number of features_AI:_1
21,,,,,,,,,,,,,,,1.0:86400,,,,,,,,Regression,,0.5,,,0.5,,,,,,,,,,,,,,,,,,,,,,,23.99999999999998,,,,,,,,21.99999999999998,,Noise in dataset_AI:_1
22,,,,,,,,,,,,,,,>86400,,,,,,,,Regression,,,0.17,,,,,,0.17,0.17,0.17,0.17,0.17,,,,,,,,,,,,,,,4.0,,,,,,,,2.0,,Training Technique_AI:_1
23,,,,,,,,,,,,,,,>86400,,,,,,,,"[Binary Classification, Multiclass Classification]",,,0.14,,,,0.14,,0.14,0.14,0.14,0.14,0.14,,,,,,,,,,,,,,,3.5,,,,,,,,1.5,,ML task_AI:_1
24,,,yes,,,,,,,,,,,,1.0:86400,,,,,,,,"[Binary Classification, Multiclass Classification]",,0.5,,,,0.5,,,,,,,,,,6.858193428304867,,,,,,,,,,,,5.611249168613074,,,,,,,,4.4088386324817,,Detailed ML task_AI:_1
25,,,no,,,,,,,,,,,,1.0:86400,,>100000,,,,,,"[Binary Classification, Multiclass Classification]",,,,,,,,1.00,,,,,,,,1.4056638346771633,,,,,,,,,,,,1.2778762133428756,,3.514159586692908,,,,,,1.0040455961979735,,
26,,,no,,,,,,,,,,,,1.0:86400,,<100000,,,,,,"[Binary Classification, Multiclass Classification]",,,,,,,0.5,0.50,,,,,,,,1.4056638346771633,,,,,,,,,,,,1.2778762133428756,,3.514159586692908,,,,,,1.0040455961979735,,
27,low,,,,,,,,,,,,,,1.0:172800,,,,,,,,,,,,,0.5000,0.5000,,,,,,,,0.2,,,,,,,,,,,,,,0.2,,,,,,,,,,
28,low,"[low, medium]",,yes,yes,,,,,,"[Predictive Maintenance, Predictive Quality, Process Parameter Prediction]",,,,1.0:172800,,,,,,,,"[Classification, Regression]",,0.2000,0.2000,,0.2000,0.2000,,,0.2000,,,,,0.5926672593342224,0.9877787655570373,,0.5926672593342224,1.4816681483355558,,,,,,2.9633362966711116,,,,0.5926672593342224,,,,,,,,2.9633362966711116,,
29,,high,no,no,no,no,,,,,Predictive Quality,,,,>86400,Image data,1000.0:100000,1.0:4,,<10,,,Multiclass Classification,Object Detection,,,,,,,,,,,1.0000,,,0.5788068887010945,0.28940344435054727,1.4470172217527364,1.4470172217527364,0.9646781478351576,,,,,1.4470172217527364,,,,0.4823390739175788,0.3617543054381841,2.894034443505473,2.894034443505473,,2.894034443505473,,,0.9646781478351576,2.894034443505473,
30,,high,no,no,no,no,,,,,Predictive Quality,,,,>86400,Tabular data,>100000,,"[continuous, discrete, nominal, timestamp]",>1000,,,Binary Classification,Part Failure,,,,,,,,1.0000,,,,,,0.61257466060831,0.306287330304155,1.5314366515207751,1.5314366515207751,1.0209577676805166,,,,,1.5314366515207751,,,,0.5104788838402583,0.23560563869550386,0.7657183257603876,,3.0628733030415503,3.0628733030415503,,,1.0209577676805166,3.0628733030415503,
31,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333,0.3333,0.3333,,,0.07142857142857142,,,,,,,,,,,,,,,,,,,,,,,,
32,,"[low, medium]",,,,,,,,,,,,,,,,,,,,,,,,0.3333,,0.3333,,,,0.3333,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,
33,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1667,0.1667,0.1667,0.1667,0.1667,,0.2,,,,,,,,,,,,,,,,,,,,,,,
34,,"[low, medium]",yes,,,,,,,,,,,,,,,,,,,,,,1.0000,,,,,,,,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,"[Binary Classification, Multiclass Classification]",Image Regocnition,,,,,,,,,,,1.0000,,,,,,,,,,,,,,,,,,,,,,,,0.15384615384615383,2.1538461538461537,
36,,,,,,,,,,,Process Parameter Prediction,,,,,,,,,,,,Regression,Time Series Prediction,,,,,,,,,,,,1.0000,,,,,,,,,,,4.143134431068739,,,,,,,,,,,,1.7263060129453076,2.5894590194179616,
37,,,,,,,,,,,,,,,,,,,,,,,Regression,Time Series Prediction,,,,,,,,,,,,1.0000,,,,,,,,,,,,,,,,,,,,,,,3.9999999999999996,5.999999999999999,
38,,medium,,,,,,,,,,,,,,,,,,,,,,,0.1111,0.1111,0.1111,0.1111,0.1111,0.1111,0.1111,0.1111,0.1111,,,,,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,
39,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333,0.3333,0.3333,,0.2,,,,,,,,,,,,,,,,,,,,,,,
40,,,yes,,,,,,,,,,,,,,,,,,,,,,0.25,,0.25,0.25,0.25,,,,,,,,,,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,
41,,,yes,,,,,,,,,,,,,,,,,,,,,,0.25,,0.25,0.25,0.25,,,,,,,,,,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,
42,,,yes,,,,,,,,,,,,,,,,,,,,,,0.333333333,,0.333333333,0.333333333,,,,,,,,,,,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,
43,,,yes,,,,,,,,,,,,,,,,,,,,,,0.2,0.07,0.1,0.2,0.1,0.07,0.2,0.07,,,,,,,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,
44,,,yes,,,,,,,,,,,,,,,,,,,,,,0.333333333,,0.333333333,0.333333333,,,,,,,,,,,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,
45,,,yes,,,,,,,,,,,,,,,,,,,,,,0.333333333,,0.333333333,0.333333333,,,,,,,,,,,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,
46,,,yes,,,,,,,,,,,,,,,,,,,,,,0.35,,0.25,0.15,0.05,0.05,0.15,,,,,,,,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,
47,,,,yes,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,0.5,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,
48,,,,yes,,,,,,,,,,,,,,,,,,,,,,0.25,0.25,0.25,,,,,0.25,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,
49,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,0.25,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,
50,,,,yes,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,
51,,low,,,,,Default values,,,,,,,,,,,,,,,,,,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,,0.111111111,,,,,0.25,,,,,0.25,,,,,,,,,,,,,,,,,,
52,,low,,,,,Default values,,,,,,,,,,,,,,,,,,0.125,0.125,0.125,0.125,0.125,0.125,0.125,,0.125,,,,,0.25,,,,,0.25,,,,,,,,,,,,,,,,,,
53,,low,,,,,Default values,,,,,,,,,,,,,,,,,,0.2,0.2,,0.2,0.2,0.2,,,,,,,,0.25,,,,,0.25,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,
55,,,,,,,,,,,,,,,0,,,,,,,,,,,0.5,,,,,,0.5,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,
56,,,,,,,,,,,,,,,0,,,,,,,,,,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,
57,,,,,,,,,yes,yes,,,,,1.0:172800,,,,,,,,,,,0.25,,,,0.25,0.25,0.25,,,,,,,,,,,,,1.8141236937208562,1.29580263837204,,,,,3.6282473874417125,,,,,,,,,,
58,,,,,,,,,yes,yes,,,,,1.0:172800,,,,,,,,,,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0,0.090909091,0.090909091,,,,,,,,,1.8141236937208562,1.29580263837204,,,,,3.6282473874417125,,,,,,,,,,
59,,,,,,,,,yes,yes,,,,,1.0:172800,,,,,,,,,,,0.5,,,,,,0.5,,,,,,,,,,,,,1.8141236937208562,1.29580263837204,,,,,3.6282473874417125,,,,,,,,,,
60,,,,,,,,,yes,yes,,,,,>7200,,,,,,,,,,,0.333333333,,,,,,0.333333333,0.333333333,,,,,,,,,,,,4.568997663051538,3.2635697593225266,,,,,5.711247078814422,,,,,,,,,,
61,,,,,,,,,yes,yes,,,,,>7200,,,,,,,,,,,,,,,0.5,,,,0.5,,,,,,,,,,,4.568997663051538,3.2635697593225266,,,,,5.711247078814422,,,,,,,,,,
62,,,,,,,,,yes,yes,,,,,>7200,,,,,,,,,,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,,,,,,,,,4.568997663051538,3.2635697593225266,,,,,5.711247078814422,,,,,,,,,,
63,,,,,,,,,yes,yes,,,,,>7200,,,,,,,,,,,,,,,0.25,,0.25,,0.25,0.25,,,,,,,,,,4.568997663051538,3.2635697593225266,,,,,5.711247078814422,,,,,,,,,,
64,,,,,,,,,,no,,,,,1.0:7200,,,,,,,,,,0.2,0.2,0.2,0.2,0.2,,,,,,,,,,,,,,,,,1.5,,,,,3.5,,,,,,,,,,
65,,,,,,,,,,no,,,,,1.0:7200,,,,,,,,,,,0.5000,,,,,,0.5000,,,,,,,,,,,,,,1.5,,,,,3.5,,,,,,,,,,
66,,,,,,,,,,no,,,,,1.0:7200,,,,,,,,,,0.1250,0.1250,0.1250,0.1250,0.1250,0.1250,0.1250,0.1250,,,,,,,,,,,,,,1.5,,,,,3.5,,,,,,,,,,
67,,,,,,,,,,no,,,,,>7200,,,,,,,,,,,0.333333333,,,,,,0.333333333,0.333333333,,,,,,,,,,,,,16.000000000000007,,,,,14.000000000000007,,,,,,,,,,
68,,,,,,,,,,no,,,,,>7200,,,,,,,,,,,1.0000,,,,,,,,,,,,,,,,,,,,16.000000000000007,,,,,14.000000000000007,,,,,,,,,,
69,,,,,,,,,,no,,,,,>7200,,,,,,,,,,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,,,,,,,,,,16.000000000000007,,,,,14.000000000000007,,,,,,,,,,
70,,,,,,,,,,no,,,,,>7200,,,,,,,,,,,0.333333333,,,,,0.33,,0.33,,,,,,,,,,,,,16.000000000000007,,,,,14.000000000000007,,,,,,,,,,
71,,,,,,,,,,,,,,,,Image data,,,,,,,,,,,,,,,,,,,1.0000,,,,,,,,,,,,,,,,,0.125,,,,,,,,,
72,,,,,,,,,,,,,,,,Image data,,,,,,,,,,,,,,,,,,,1.0000,,,,,,,,,,,,,,,,,0.125,,,,,,,,,
73,,,,,,,,,,,,,,,,Image data,,,,,,,,,,,,,,,,,,,1.0000,,,,,,,,,,,,,,,,,0.125,,,,,,,,,
74,,,,,,,,,,,,,,,,Image data,,,,,,,,,,,,,,,,,,,1.0000,,,,,,,,,,,,,,,,,0.125,,,,,,,,,
75,,,,,,,,,,,,,,,,Image data,,,,,,,,,,,,,,,,,,0.5000,0.5000,,,,,,,,,,,,,,,,,0.125,,,,,,,,,
76,,,,,,,,,,,,,,,,Image data,,,,,,,,,,,,,,,,,,,1.0000,,,,,,,,,,,,,,,,,0.125,,,,,,,,,
77,,,,,,,,,,,,,,,,Image data,,,,,,,,,,,,,,,,,,,1.0000,,,,,,,,,,,,,,,,,0.125,,,,,,,,,
78,,,,,,,,,,,,,,,,Tabular data,,,,,,,,,0.0909,0.0909,0.0909,0.0909,0.0909,0.0909,0.0909,0.0909,0.0909,0.0909,,0.0909,,,,,,,,,,,,,,,,0.07692307692307693,,,,,,,,,
79,,,,,,,,,,,,,,,,Tabular data,,,,,,,,,,0.5000,,,,,,0.5000,,,,,,,,,,,,,,,,,,,,0.07692307692307693,,,,,,,,,
80,,,,,,,,,,,,,,,,Tabular data,,,,,,,,,0.0909,0.0909,0.0909,0.0909,0.0909,0.0909,0.0909,0.0909,0.0909,0.0909,,0.0909,,,,,,,,,,,,,,,,0.07692307692307693,,,,,,,,,
81,,,,,,,,,,,,,,,,Tabular data,,,,,,,,Time Series Prediction,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,3.2000000000000006,,,,,,,,5.2,
82,low,,,,,,,,,,,,,,,Tabular data,,,,,,,,,0.166666667,,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,,,,,,3.25,,,,,,,,,,,,,,,1.25,,,,,,,,,
83,high,,,,,,,,,,,,,,,Tabular data,,,,,,,,,,,,,,,,1,,,,,25.99999999999996,,,,,,,,,,,,,,,27.99999999999996,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,,,,Time Series Prediction,,,,,,,,,,,,1.0000,,,,,,,,,,,,,,,,,,,,,,,,0.125,
85,,,,,,,,,,,,,,,,,,,,,,,,Time Series Prediction,,,,,,,,,,,,1.0000,,,,,,,,,,,,,,,,,,,,,,,,0.125,
86,high,medium,no,,,yes,,Windows,,yes,yes,,>200,,>172800,Tabular data,>1000000,2.0:9,"[continuous, discrete, nominal]",<100,yes,,Regression,Time Series Prediction,0.25,0.25,,,,,,0.25,,,,0.25,0.8829440573934749,2.060202800584775,1.236121680350865,,,2.47224336070173,,3.090304200877162,,0.8829440573934749,2.060202800584775,,4.12040560116955,,4.12040560116955,0.9508628310391269,3.090304200877162,2.060202800584775,2.060202800584775,1.7658881147869498,2.47224336070173,,1.0301014002923874,1.545152100438581,
87,low,medium,no,,,yes,,Windows,,yes,yes,,,,7200.0:172800,Tabular data,1000.0:10000,2.0:9,"[continuous, discrete, nominal]",<100,no,,Binary Classification,Time Series Prediction,,0.3,,,0.3,,,0.3,,,,,0.9040185051852896,0.7533487543210745,0.4520092525926448,,,0.9040185051852896,,1.1300231314816118,,0.3228637518518891,0.7533487543210745,,,,1.506697508642149,0.3476994250712652,2.2600462629632236,0.7533487543210745,0.7533487543210745,0.6457275037037782,4.520092525926447,,1.506697508642149,0.5650115657408059,
88,low,medium,no,,,yes,,Windows,,yes,yes,,,,>172800,Tabular data,>1000000,2.0:9,"[continuous, discrete, nominal]",<100,yes,,Multiclass Classification,,,0.5,,,,,,0.5,,,,,2.6127763064974525,2.177313588747877,1.3063881532487263,,,2.6127763064974525,,3.2659703831218154,,0.9331343951776615,2.177313588747877,,,,4.354627177495754,1.0049139640374818,3.2659703831218154,2.177313588747877,2.177313588747877,1.866268790355323,2.6127763064974525,,4.354627177495754,,
89,high,medium,no,,,yes,,linux,,yes,yes,,,,7200.0:172800,Tabular data,>1000000,2.0:9,"[continuous, discrete, nominal]",<100,yes,,Multiclass Classification,,,0.5,,,,,,0.5,,,,,0.3236261020095997,0.7551275713557326,0.4530765428134396,,,0.9061530856268792,,4.530765428134396,,0.3236261020095997,0.7551275713557326,,,,1.5102551427114652,0.3485204175487997,1.132691357033599,0.7551275713557326,0.7551275713557326,0.6472522040191994,0.9061530856268792,,1.5102551427114652,,
90,high,medium,no,,,no,,Windows,,yes,yes,,>200,,7200.0:172800,Tabular data,1000.0:10000,2.0:9,"[continuous, discrete, nominal]",<100,yes,,Binary Classification,,0.14,0.14,0.14,,0.14,0.14,,0.14,0.14,,,,0.6000704885660991,1.400164473320898,0.8400986839925388,,,2.800328946641796,,2.100246709981347,,0.6000704885660991,1.400164473320898,,2.800328946641796,,2.800328946641796,0.6462297569173376,4.200493419962694,1.400164473320898,1.400164473320898,1.2001409771321983,1.6801973679850777,,2.800328946641796,,
91,high,high,no,,,yes,,Linux,,yes,yes,,>200,,>172800,Tabular data,>1000000,2.0:9,"[continuous, discrete, nominal]",<100,yes,,Regression,Time Series Prediction,,0.33,,,,0.33,,0.33,,,,,0.3384400501190974,0.9476321403334729,0.47381607016673644,,,0.9476321403334729,,4.738160701667364,,0.3384400501190974,0.789693450277894,,1.579386900555788,,1.579386900555788,0.36447390012825875,1.184540175416841,0.789693450277894,0.789693450277894,0.6768801002381948,0.9476321403334729,,0.394846725138947,0.5922700877084205,
92,,,,,,,Default values,,,,,,,,,,,,,,,,,,,0.5000,,,,,,0.5000,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,
