;;A;A_I;A;A_I;A;A_I;;A;A_I;;A;A_I;A;A_I;A;A_I;A;A_I;;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;X;;;
;;Antecedent attributes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Consequent attribute (Hyperparameter Optimization Method);;;;;;;;;;;;;;;;;;;;;
;;User specific;;;;;;;Production;;;;;;;;;;;;Machine Learning Algorithm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Model-free, Full evaluation;;;;;Model-based, Full evaluation;;;;;;Model-free, Multi-fidelity;;;Model-based, Multi-fidelity;;;;total n of HPO techniques analyzed;;
Rule ID;;UR: quality demands;1;User's programming ability;1;Access to parallel computing;1;;Production use case;1;;Number of maximum function evaluations/ trials budget;1;Running time per trial [s];1;Number of kernels used;1;Total Computing Time [s];1;;Machine Learning Algorithm;1;Obtainability of good approximate;1;Supports parallel evaluations;1;Usage of one-hot encoding for cat. features;1;Dimensionality of HPs;1;Conditional HP space;1;HP datatypes;1;Obtainability of gradients;1;;Input Data;1;#Instances training dataset;1;Ratio training to test dataset;1;Dataset balance;1;Ratio positive to negative targets;1;Noise in dataset;1;Training Technique;1;ML Task;1;Detailed ML task;1;Rule ID;Default Values;Random Search;Grid Search;CMA-ES;PBT;HOAG (Gradient based);SMAC;TPE;GPBO;MTBO;BOHAMIANN;DNGO;SHA;HB;ASHA;Fabolas;BOHB;HB-LCNet;;18;;
;;0,0667;15;0,0455;22;0,0185;54;;0,0196;51;;0,0145;69;0,0313;32;0,0119;84;0,0100;100;;0,0093;108;0,0500;20;0,0294;34;0,0303;33;0,0084;119;0,0087;115;0,0083;121;0,2000;5;;;96;0,0128;78;0,0132;76;0,0625;16;0,0714;14;0,1000;10;0,0093;108;0,0094;106;0,0114;88;;8,00;5,04;0,87;6,71;5,41;1,71;22,79;16,71;20,57;2,16;9,12;3,12;2,24;7,69;4,24;3,66;16,27;2,70;;;;
1;;low;0,06667;;;;;;Predictive Quality;0,01961;;;;;;;;;;;;;;;yes;0,02941;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1,00000;;;;;;;;;;;;;;;;;;;;Hanno Generic;
2;;high;0,06667;;;;;;Predictive Quality;0,01961;;;;;;;;>86400;0,01000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;1,00000;;;;;;;;;;;;;;;;;;;;
3;;high;0,06667;high;0,04545;;;;Predictive Quality;0,01961;;;;;;;;<86400;0,01000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;1,00000;;;;;;;;;;;;;;;;
4;;high;0,06667;high;0,04545;;;;Predictive Quality;0,01961;;;;;;;;<86400;0,01000;;;;yes;0,05000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;0,33333;0,33333;0,33333;;;;
5;;high;0,06667;medium;0,04545;;;;Predictive Quality;0,01961;;>100;0,01449;;;;;<86400;0,01000;;;;;;no;0,02941;;;;;;;[continuous];0,00826;;;;;;;;;;;;;;;;;;;;;;5;;;;0,50000;0,50000;;;;;;;;;;;;;;;;;
6;;high;0,06667;medium;0,04545;;;;Predictive Quality;0,01961;;>100;0,01449;;;;;<86400;0,01000;;;;;;no;0,02941;;;;;;;[discrete, ordinal, nominal];0,00826;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;0,50000;0,50000;;;;;;;;;;;;;;
7;;high;0,06667;medium;0,04545;;;;Predictive Quality;0,01961;;<100;0,01449;;;;;<86400;0,01000;;;;;;no;0,02941;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;;;;0,50000;0,50000;;;;;;;;;;;;;;
8;;high;0,06667;medium;0,04545;;;;Predictive Quality;0,01961;;;;;;;;<86400;0,01000;;;;;;yes;0,02941;;;>10;0,00840;;;[discrete, ordinal, nominal];0,00826;;;;;;;;;;;;;;;;;;;;;;8;;;;;;;0,50000;0,50000;;;;;;;;;;;;;;
9;;high;0,06667;medium;0,04545;;;;Predictive Quality;0,01961;;;;;;;;<86400;0,01000;;;;;;yes;0,02941;;;1.0:10;0,00840;;;[continuous];0,00826;;;;;;;;;;;;;;;;;;;;;;9;;;;;;;;;1,00000;;;;;;;;;;;;;
10;;high;0,06667;high;0,04545;;;;Predictive Quality;0,01961;;>100;0,01449;;;;;<86400;0,01000;;;;no;0,05000;no;0,02941;;;;;;;[continuous];0,00826;no;0,20000;;;;;;;;;;;;;;;;;;;;10;;;;0,50000;0,50000;;;;;;;;;;;;;;;;;
11;;high;0,06667;high;0,04545;;;;Predictive Quality;0,01961;;>100;0,01449;;;;;<86400;0,01000;;;;no;0,05000;no;0,02941;;;;;;;[discrete, ordinal, nominal];0,00826;no;0,20000;;;;;;;;;;;;;;;;;;;;11;;;;;;;0,50000;0,50000;;;;;;;;;;;;;;
12;;high;0,06667;high;0,04545;;;;Predictive Quality;0,01961;;<100;0,01449;;;;;<86400;0,01000;;;;no;0,05000;no;0,02941;;;;;;;;;no;0,20000;;;;;;;;;;;;;;;;;;;;12;;;;;;;0,50000;0,50000;;;;;;;;;;;;;;
13;;high;0,06667;high;0,04545;;;;Predictive Quality;0,01961;;;;;;;;<86400;0,01000;;;;no;0,05000;yes;0,02941;;;>10;0,00840;;;[discrete, ordinal, nominal];0,00826;no;0,20000;;;;;;;;;;;;;;;;;;;;13;;;;;;;0,50000;0,50000;;;;;;;;;;;;;;
14;;high;0,06667;high;0,04545;;;;Predictive Quality;0,01961;;;;;;;;<86400;0,01000;;;;no;0,05000;yes;0,02941;;;1.0:10;0,00840;;;[continuous];0,00826;no;0,20000;;;;;;;;;;;;;;;;;;;;14;;;;;;;;;1,00000;;;;;;;;;;;;;
15;;;;;;yes;0,01852;;Predictive Quality;0,01961;;<150;0,01449;;;8;0,01190;<100;0,01000;;Random Forest;0,00926;yes;0,05000;yes;0,02941;;;4.0:10;0,00840;no;0,00870;[continuous];0,00826;;;;Tabular Data;0,01042;1000.0:100000;0,01282;1.0:4;0,01316;imbalanced;0,06250;0,016949;0,07143;;;Offline;0,00926;Binary Classification;0,00943;Prediction of Part Failure;0,01136;15;1,00000;;;;;;;;;;;;;;;;;;;;Hanno Experiment;
16;;;;;;yes;0,01852;;Predictive Quality;0,01961;;<150;0,01449;;;8;0,01190;100.0:4000;0,01000;;Random Forest;0,00926;yes;0,05000;yes;0,02941;;;4.0:10;0,00840;no;0,00870;[continuous];0,00826;;;;Tabular Data;0,01042;1000.0:100000;0,01282;1.0:4;0,01316;imbalanced;0,06250;0,016949;0,07143;;;Offline;0,00926;Binary Classification;0,00943;Prediction of Part Failure;0,01136;16;;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;;;;
17;;;;;;no;0,01852;;Predictive Quality;0,01961;;<150;0,01449;;;1;0,01190;<100;0,01000;;Random Forest;0,00926;yes;0,05000;yes;0,02941;;;4.0:10;0,00840;no;0,00870;[continuous];0,00826;;;;Tabular Data;0,01042;1000.0:100000;0,01282;1.0:4;0,01316;imbalanced;0,06250;0,016949;0,07143;;;Offline;0,00926;Binary Classification;0,00943;Prediction of Part Failure;0,01136;17;1,00000;;;;;;;;;;;;;;;;;;;;;
18;;;;;;no;0,01852;;Predictive Quality;0,01961;;<150;0,01449;;;1;0,01190;100.0:4000;0,01000;;Random Forest;0,00926;yes;0,05000;yes;0,02941;;;4.0:10;0,00840;no;0,00870;[continuous];0,00826;;;;Tabular Data;0,01042;1000.0:100000;0,01282;1.0:4;0,01316;imbalanced;0,06250;0,016949;0,07143;;;Offline;0,00926;Binary Classification;0,00943;Prediction of Part Failure;0,01136;18;;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;;;;
19;;;;;;yes;0,01852;;Predictive Quality;0,01961;;<150;0,01449;;;8;0,01190;<100;0,01000;;Decision Tree;0,00926;yes;0,05000;yes;0,02941;;;1.0:3;0,00840;no;0,00870;[continuous];0,00826;;;;Tabular Data;0,01042;1000.0:100000;0,01282;1.0:4;0,01316;imbalanced;0,06250;0,016949;0,07143;;;Offline;0,00926;Binary Classification;0,00943;Prediction of Part Failure;0,01136;19;;;;1,00000;;;;;;;;;;;;;;;;;;
20;;;;;;no;0,01852;;Predictive Quality;0,01961;;<150;0,01449;;;1;0,01190;<100;0,01000;;Decision Tree;0,00926;yes;0,05000;yes;0,02941;;;1.0:3;0,00840;no;0,00870;[continuous];0,00826;;;;Tabular Data;0,01042;1000.0:100000;0,01282;1.0:4;0,01316;imbalanced;0,06250;0,016949;0,07143;;;Offline;0,00926;Binary Classification;0,00943;Prediction of Part Failure;0,01136;20;;;;1,00000;;;;;;;;;;;;;;;;;;
21;;;;;;yes;0,01852;;Predictive Quality;0,01961;;<150;0,01449;;;8;0,01190;<500;0,01000;;Support Vector Machine;0,00926;no;0,05000;yes;0,02941;;;4.0:10;0,00840;yes;0,00870;[continuous, nominal];0,00826;;;;Tabular Data;0,01042;1000.0:100000;0,01282;1.0:4;0,01316;imbalanced;0,06250;0,016949;0,07143;;;Offline;0,00926;Binary Classification;0,00943;Prediction of Part Failure;0,01136;21;;;;;;;;;;;;;;0,50000;;;0,50000;;;;;
22;;;;;;yes;0,01852;;Predictive Quality;0,01961;;<150;0,01449;;;8;0,01190;>500;0,01000;;Support Vector Machine;0,00926;no;0,05000;yes;0,02941;;;4.0:10;0,00840;yes;0,00870;[continuous, nominal];0,00826;;;;Tabular Data;0,01042;1000.0:100000;0,01282;1.0:4;0,01316;imbalanced;0,06250;0,016949;0,07143;;;Offline;0,00926;Binary Classification;0,00943;Prediction of Part Failure;0,01136;22;;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;;;;
23;;;;;;yes;0,01852;;Predictive Quality;0,01961;;<600;0,01449;;;8;0,01190;<6000;0,01000;;XGBoost;0,00926;yes;0,05000;yes;0,02941;;;4.0:10;0,00840;yes;0,00870;[continuous, discrete, nominal];0,00826;;;;Tabular Data;0,01042;<1000;0,01282;;;imbalanced;0,06250;;;;;Offline;0,00926;Binary Classification;0,00943;Prediction of Part Failure;0,01136;23;;;;;;;;;;;;;;0,50000;;;0,50000;;;;;
24;;;;;;yes;0,01852;;Predictive Quality;0,01961;;<600;0,01449;;;8;0,01190;<7000;0,01000;;Random Forest;0,00926;yes;0,05000;yes;0,02941;;;4.0:10;0,00840;no;0,00870;[continuous];0,00826;;;;Tabular Data;0,01042;<1000;0,01282;;;imbalanced;0,06250;;;;;Offline;0,00926;Binary Classification;0,00943;Prediction of Part Failure;0,01136;24;;;;;;;;;;;;;;0,50000;;;0,50000;;;;;
25;;;;low;0,04545;;;;Predictive Maintenance;0,01961;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;;1,00000;;;;;;;;;;;;;;;;;;;Lucas Generic;
26;;;;[medium, high];0,04545;;;;Predictive Maintenance;0,01961;;;;<10;0,03125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26;;0,50000;;0,25000;0,25000;;;;;;;;;;;;;;;;;
27;;;;[medium, high];0,04545;;;;Predictive Maintenance;0,01961;;;;>100;0,03125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27;;;;;;;;;;;;;;;;;1,00000;;;;;
28;;;;[medium, high];0,04545;yes;0,01852;;Predictive Maintenance;0,01961;;;;10.0:100;0,03125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28;;;;0,50000;0,50000;;;;;;;;;;;;;;;;;
29;;;;[medium, high];0,04545;no;0,01852;;Predictive Maintenance;0,01961;;>200;0,01449;10.0:100;0,03125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29;;0,50000;;0,25000;0,25000;;;;;;;;;;;;;;;;;
30;;;;[medium, high];0,04545;no;0,01852;;Predictive Maintenance;0,01961;;<200;0,01449;10.0:100;0,03125;;;;;;;;;;;;;;>10;0,00840;yes;0,00870;;;;;;;;;;;;;;;;;;;;;;;;30;;;;;;;;1,00000;;;;;;;;;;;;;;
31;;;;[medium, high];0,04545;no;0,01852;;Predictive Maintenance;0,01961;;<200;0,01449;10.0:100;0,03125;;;;;;;;;;;;;;>10;0,00840;no;0,00870;;;;;;;;;;;;;;;;;;;;;;;;31;;;;;;;1,00000;;;;;;;;;;;;;;;
32;;;;[medium, high];0,04545;no;0,01852;;Predictive Maintenance;0,01961;;<200;0,01449;10.0:100;0,03125;;;;;;;;;;;;;;1.0:10;0,00840;;;[continuous];0,00826;;;;;;;;;;;;;;;;;;;;;;32;;;;;;;;;1,00000;;;;;;;;;;;;;
33;;;;[medium, high];0,04545;no;0,01852;;Predictive Maintenance;0,01961;;<200;0,01449;10.0:100;0,03125;;;;;;;;;;;;;;1.0:10;0,00840;no;0,00870;[continuous, discrete, ordinal, nominal];0,00826;;;;;;;;;;;;;;;;;;;;;;33;;;;;;;1,00000;;;;;;;;;;;;;;;
34;;;;[medium, high];0,04545;no;0,01852;;Predictive Maintenance;0,01961;;<200;0,01449;10.0:100;0,03125;;;;;;;;;;;;;;1.0:10;0,00840;yes;0,00870;;;;;;;;;;;;;;;;;;;;;;;;34;;;;;;;;1,00000;;;;;;;;;;;;;;
35;;;;;;no;0,01852;;Predictive Maintenance;0,01961;;;;;;1;0,01190;<40;0,01000;;Random Forest;;;;;;;;4.0:10;0,00840;no;0,00870;[discrete, nominal];0,00826;;;;Tabular Data;0,01042;1000.0:100000;0,01282;1.0:4;0,01316;imbalanced;0,06250;0,016949;0,07143;;;Offline;;Binary Classification;0,00943;Prediction of Part Failure;;35;1,00000;;;;;;;;;;;;;;;;;;;;Lucas Experiment;
36;;;;;;no;0,01852;;Predictive Maintenance;0,01961;;;;;;1;0,01190;40.0:700;0,01000;;Random Forest;;;;;;;;4.0:10;0,00840;no;0,00870;[discrete, nominal];0,00826;;;;Tabular Data;0,01042;1000.0:100000;0,01282;1.0:4;0,01316;imbalanced;0,06250;0,016949;0,07143;;;Offline;;Binary Classification;0,00943;Prediction of Part Failure;;36;;0,25000;;;;;0,25000;0,25000;0,25000;;;;;;;;;;;;;
37;;;;;;no;0,01852;;Predictive Maintenance;0,01961;;;;;;1;0,01190;700.0:2000;0,01000;;Random Forest;;;;;;;;4.0:10;0,00840;no;0,00870;[discrete, nominal];0,00826;;;;Tabular Data;0,01042;1000.0:100000;0,01282;1.0:4;0,01316;imbalanced;0,06250;0,016949;0,07143;;;Offline;;Binary Classification;0,00943;Prediction of Part Failure;;37;;;;;;;1,00000;;;;;;;;;;;;;;;
38;;;;;;no;0,01852;;Predictive Maintenance;0,01961;;;;;;1;0,01190;<1000;0,01000;;Support Vector Machine;;;;;;;;4.0:10;0,00840;no;0,00870;[continuous, nominal];0,00826;;;;Tabular Data;0,01042;1000.0:100000;0,01282;1.0:4;0,01316;imbalanced;0,06250;0,016949;0,07143;;;Offline;;Binary Classification;0,00943;Prediction of Part Failure;;38;1,00000;;;;;;;;;;;;;;;;;;;;;
39;;;;;;no;0,01852;;Predictive Maintenance;0,01961;;;;;;1;0,01190;1000.0:10000;0,01000;;Support Vector Machine;;;;;;;;4.0:10;0,00840;no;0,00870;[continuous, nominal];0,00826;;;;Tabular Data;0,01042;1000.0:100000;0,01282;1.0:4;0,01316;imbalanced;0,06250;0,016949;0,07143;;;Offline;;Binary Classification;0,00943;Prediction of Part Failure;;39;;;;;;;;;;;;;;;;;;;;;;
40;;;;;;no;0,01852;;Predictive Maintenance;0,01961;;;;;;1;0,01190;10000.0:70000;0,01000;;Support Vector Machine;;;;;;;;4.0:10;0,00840;no;0,00870;[continuous, nominal];0,00826;;;;Tabular Data;0,01042;1000.0:100000;0,01282;1.0:4;0,01316;imbalanced;0,06250;0,016949;0,07143;;;Offline;;Binary Classification;0,00943;Prediction of Part Failure;;40;;;;;;;;0,50000;0,50000;;;;;;;;;;;;;
41;;;;;;no;0,01852;;Predictive Maintenance;0,01961;;;;;;1;0,01190;<50;0,01000;;Multilayer Perceptron;;;;;;;;4.0:10;0,00840;no;0,00870;[continuous, discrete, nominal];0,00826;;;;Tabular Data;0,01042;1000.0:100000;0,01282;1.0:4;0,01316;;;;;;;Offline;;Regression;0,00943;Prediction of Remaining Useful Lifetime;;41;1,00000;;;;;;;;;;;;;;;;;;;;;
42;;;;;;no;0,01852;;Predictive Maintenance;0,01961;;;;;;1;0,01190;50.0:2000;0,01000;;Multilayer Perceptron;;;;;;;;4.0:10;0,00840;no;0,00870;[continuous, discrete, nominal];0,00826;;;;Tabular Data;0,01042;1000.0:100000;0,01282;1.0:4;0,01316;;;;;;;Offline;;Regression;0,00943;Prediction of Remaining Useful Lifetime;;42;;0,25000;;;;;0,25000;0,25000;0,25000;;;;;;;;;;;;;
43;;;;;;no;0,01852;;Predictive Maintenance;0,01961;;;;;;1;0,01190;<100;0,01000;;Support Vector Machine;;;;;;;;1.0:3;0,00840;no;0,00870;[continuous];0,00826;;;;Tabular Data;0,01042;1000.0:100000;0,01282;1.0:4;0,01316;;;;;;;Offline;;Regression;0,00943;Prediction of Remaining Useful Lifetime;;43;1,00000;;;;;;;;;;;;;;;;;;;;;
44;;;;;;no;0,01852;;Predictive Maintenance;0,01961;;;;;;1;0,01190;100.0:10000;0,01000;;Support Vector Machine;;;;;;;;1.0:3;0,00840;no;0,00870;[continuous];0,00826;;;;Tabular Data;0,01042;1000.0:100000;0,01282;1.0:4;0,01316;;;;;;;Offline;;Regression;0,00943;Prediction of Remaining Useful Lifetime;;44;;;;;;;;1,00000;;;;;;;;;;;;;;
45;;high;0,06667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45;;;;;;;0,25000;0,25000;0,25000;;;;;;;;0,25000;;;;Flo Generic;
46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;>10;0,00840;;;;;;;;;;;;;;;;;;;;;;;;;;46;;;;;;;0,25000;0,25000;;;;;;0,25000;;;0,25000;;;;;
47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;yes;0,00870;[continuous, discrete, ordinal, nominal];0,00826;;;;;;;;;;;;;;;;;;;;;;47;;0,16667;0,16667;;;;0,16667;0,16667;;;;;;0,16667;;;0,16667;;;;;
48;;;;;;;;;;;;;;;;;;<86400;0,01000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48;;0,33333;;;;;;;;;;;;0,33333;;;0,33333;;;;;
49;;;;;;;;;Process Parameter Prediction;0,01961;;;;;;1;0,01190;<200;0,01000;;XGBoost;0,00926;;;;;no categorical features;0,03030;4.0:10;0,00840;no;0,00870;[continuous, discrete];0,00826;;;;Tabular Data;0,01042;>100000;0,01282;1.0:4;0,01316;;;;;;;Offline;0,00926;Regression;0,00943;Time Series Prediction;0,01136;49;1,00000;;;;;;;;;;;;;;;;;;;;Flo Experiment;
50;;;;;;;;;Process Parameter Prediction;0,01961;;;;;;1;0,01190;200.0:2000;0,01000;;XGBoost;0,00926;;;;;no categorical features;0,03030;4.0:10;0,00840;no;0,00870;[continuous, discrete];0,00826;;;;Tabular Data;0,01042;>100000;0,01282;1.0:4;0,01316;;;;;;;Offline;0,00926;Regression;0,00943;Time Series Prediction;0,01136;50;;0,33333;;;;;0,33333;0,33333;;;;;;;;;;;;;;
